pickup,delivery,distance,equipment,date,predicted_rate,load_id,pickup_lat,pickup_lon,delivery_lat,delivery_lon,weight_was_zero,weight_was_missing,weight_was_negative,weight_imputed_equipment,weight_imputed_equipment_route
Lexington,Fort Wayne,360,Dry Van,2025-12-01,794.9317626953125,TR-060000,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-02,803.8428344726562,TR-060001,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-03,796.7503662109375,TR-060002,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-04,804.2066040039062,TR-060003,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-05,809.84423828125,TR-060004,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-06,806.6617431640625,TR-060005,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-07,808.7529907226562,TR-060006,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-08,798.2962036132812,TR-060007,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-09,806.57080078125,TR-060008,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-10,804.1156616210938,TR-060009,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-11,817.30029296875,TR-060010,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-12,803.2973022460938,TR-060011,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-13,791.20361328125,TR-060012,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-14,793.3859252929688,TR-060013,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-15,804.20654296875,TR-060014,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-16,813.2086181640625,TR-060015,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-17,809.5712890625,TR-060016,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-18,860.5827026367188,TR-060017,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-19,799.6600952148438,TR-060018,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-20,800.84228515625,TR-060019,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-21,818.209716796875,TR-060020,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-22,804.752197265625,TR-060021,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-23,845.3975219726562,TR-060022,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-24,810.2987670898438,TR-060023,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-25,863.3107299804688,TR-060024,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-26,838.9414672851562,TR-060025,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-27,827.8482055664062,TR-060026,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-28,842.5787963867188,TR-060027,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-29,793.476806640625,TR-060028,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-30,804.7521362304688,TR-060029,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
Lexington,Fort Wayne,360,Dry Van,2025-12-31,798.8417358398438,TR-060030,36.99152,-84.99876,41.31561,-85.36206,False,False,False,32000,32000
